threshold,variant,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1
60,full,0,0,85,85,0.5,0.0,0.0,1.0,0.0
60,keywords_only,0,0,85,85,0.5,0.0,0.0,1.0,0.0
60,structural_only,0,0,85,85,0.5,0.0,0.0,1.0,0.0
10,full,55,1,84,30,0.8176470588235294,0.9821428571428571,0.6470588235294118,0.9882352941176471,0.7801418439716312
10,keywords_only,6,1,84,79,0.5294117647058824,0.8571428571428571,0.07058823529411765,0.9882352941176471,0.13043478260869565
10,structural_only,55,0,85,30,0.8235294117647058,1.0,0.6470588235294118,1.0,0.7857142857142858
